year,unitid,inst_name,state_name,state_of_residence,type_of_freshman,enrollment_fall
2016,104179,University of Arizona,Arizona,Iowa,Total,36
2016,104179,University of Arizona,Arizona,Foreign countries,Total,463
2016,104179,University of Arizona,Arizona,Kentucky,Total,6
2016,104179,University of Arizona,Arizona,Florida,Total,46
2016,104179,University of Arizona,Arizona,South Dakota,Total,1
2016,104179,University of Arizona,Arizona,Michigan,Total,26
2016,104179,University of Arizona,Arizona,Delaware,Total,2
2016,104179,University of Arizona,Arizona,Alabama,Total,5
2016,104179,University of Arizona,Arizona,Kansas,Total,17
2016,104179,University of Arizona,Arizona,Maine,Total,4
2016,104179,University of Arizona,Arizona,Outlying areas total,Total,5
2016,104179,University of Arizona,Arizona,Arkansas,Total,4
2016,104179,University of Arizona,Arizona,Oregon,Total,35
2016,104179,University of Arizona,Arizona,Colorado,Total,98
2016,104179,University of Arizona,Arizona,Massachusetts,Total,51
2016,104179,University of Arizona,Arizona,Utah,Total,10
2016,104179,University of Arizona,Arizona,Nebraska,Total,8
2016,104179,University of Arizona,Arizona,New York,Total,97
2016,104179,University of Arizona,Arizona,Residence not reported (balance line),Total,9
2016,104179,University of Arizona,Arizona,Total,Total,7753
2016,104179,University of Arizona,Arizona,Rhode Island,Total,5
2016,104179,University of Arizona,Arizona,South Carolina,Total,10
2016,104179,University of Arizona,Arizona,California,Total,1246
2016,104179,University of Arizona,Arizona,North Dakota,Total,1
2016,104179,University of Arizona,Arizona,Nevada,Total,53
2016,104179,University of Arizona,Arizona,Hawaii,Total,19
2016,104179,University of Arizona,Arizona,State unknown,Total,67
2016,104179,University of Arizona,Arizona,Virginia,Total,39
2016,104179,University of Arizona,Arizona,Oklahoma,Total,6
2016,104179,University of Arizona,Arizona,Alaska,Total,12
2016,104179,University of Arizona,Arizona,New Hampshire,Total,14
2016,104179,University of Arizona,Arizona,Guam,Total,5
2016,104179,University of Arizona,Arizona,Pennsylvania,Total,71
2016,104179,University of Arizona,Arizona,Indiana,Total,24
2016,104179,University of Arizona,Arizona,North Carolina,Total,15
2016,104179,University of Arizona,Arizona,Idaho,Total,17
2016,104179,University of Arizona,Arizona,New Mexico,Total,36
2016,104179,University of Arizona,Arizona,Illinois,Total,236
2016,104179,University of Arizona,Arizona,Wyoming,Total,5
2016,104179,University of Arizona,Arizona,Ohio,Total,36
2016,104179,University of Arizona,Arizona,Minnesota,Total,59
2016,104179,University of Arizona,Arizona,Missouri,Total,29
2016,104179,University of Arizona,Arizona,Vermont,Total,5
2016,104179,University of Arizona,Arizona,Connecticut,Total,39
2016,104179,University of Arizona,Arizona,Arizona,Total,4236
2016,104179,University of Arizona,Arizona,Tennessee,Total,11
2016,104179,University of Arizona,Arizona,Mississippi,Total,1
2016,104179,University of Arizona,Arizona,Montana,Total,7
2016,104179,University of Arizona,Arizona,Texas,Total,118
2016,104179,University of Arizona,Arizona,Maryland,Total,44
2016,104179,University of Arizona,Arizona,Georgia,Total,39
2016,104179,University of Arizona,Arizona,Washington,Total,160
2016,104179,University of Arizona,Arizona,Louisiana,Total,9
2016,104179,University of Arizona,Arizona,US total,Total,7276
2016,104179,University of Arizona,Arizona,New Jersey,Total,102
2016,104179,University of Arizona,Arizona,District of Columbia,Total,21
2016,104179,University of Arizona,Arizona,Wisconsin,Total,38
2016,166027,Harvard University,Massachusetts,North Dakota,Total,3
2016,166027,Harvard University,Massachusetts,Utah,Total,7
2016,166027,Harvard University,Massachusetts,Vermont,Total,5
2016,166027,Harvard University,Massachusetts,Idaho,Total,2
2016,166027,Harvard University,Massachusetts,Massachusetts,Total,218
2016,166027,Harvard University,Massachusetts,Foreign countries,Total,193
2016,166027,Harvard University,Massachusetts,District of Columbia,Total,5
2016,166027,Harvard University,Massachusetts,Florida,Total,61
2016,166027,Harvard University,Massachusetts,Washington,Total,17
2016,166027,Harvard University,Massachusetts,Puerto Rico,Total,3
2016,166027,Harvard University,Massachusetts,Total,Total,1659
2016,166027,Harvard University,Massachusetts,Maine,Total,5
2016,166027,Harvard University,Massachusetts,New Jersey,Total,68
2016,166027,Harvard University,Massachusetts,Nevada,Total,5
2016,166027,Harvard University,Massachusetts,New Hampshire,Total,7
2016,166027,Harvard University,Massachusetts,Outlying areas total,Total,4
2016,166027,Harvard University,Massachusetts,West Virginia,Total,4
2016,166027,Harvard University,Massachusetts,New Mexico,Total,7
2016,166027,Harvard University,Massachusetts,North Carolina,Total,22
2016,166027,Harvard University,Massachusetts,Louisiana,Total,5
2016,166027,Harvard University,Massachusetts,Rhode Island,Total,14
2016,166027,Harvard University,Massachusetts,Iowa,Total,5
2016,166027,Harvard University,Massachusetts,Connecticut,Total,47
2016,166027,Harvard University,Massachusetts,Tennessee,Total,11
2016,166027,Harvard University,Massachusetts,Pennsylvania,Total,43
2016,166027,Harvard University,Massachusetts,Texas,Total,75
2016,166027,Harvard University,Massachusetts,Maryland,Total,42
2016,166027,Harvard University,Massachusetts,Michigan,Total,24
