Year,Entity,Opioid Overdose Deaths,Prescription Drugs (CDC WONDER (2017)),Opioid Pain Relievers (CDC WONDER (2017)),Benzodiazepines (CDC WONDER (2017)),Illicit Drugs (CDC WONDER (2017)),Cocaine (CDC WONDER (2017)),Heroin (CDC WONDER (2017)),Any Opioids (CDC WONDER (2017)),Opioid Pain Relievers other than synthetic opioids (CDC WONDER (2017)),Synthetic Opioids other than Methadone (CDC WONDER (2017)),Illicit Opioids (Heroin and Synthetic Opioids other than Methadone) (CDC WONDER (2017)),Suicides,Unemployment Rate,Suicides % Change,Suicides Log,Unemployment Rate % Change,Unemployment Rate Log,Opioid Overdose Deaths % Change,Opioid Overdose Deaths Log
1999,United States,6.178788185,2.7588002680000003,1.4778631930000001,0.41622200600000003,2.064607859,1.4015864130000002,0.718762219,2.951325655,2.2582335469999997,0.267702252,0.980963767,9.817642,4.216666666666668,0.0,2.2841809713328307,0.0,1.4390449265054197,0.0,1.8211221656725352
2000,United States,6.17197752,2.794490099,1.559385657,0.46001878399999996,1.8815405369999998,1.256014228,0.6528155210000001,2.9794898030000003,2.290170431,0.277145356,0.9235815999999999,9.532645,3.9666666666666663,-0.02902906828340235,2.254722223753747,-0.05928853754940744,1.377926111449374,-0.0011022654922099306,1.8200192922389347
2001,United States,6.805653572000001,3.22736907,1.939860344,0.5593591929999999,1.94968605,1.345058799,0.624278545,3.330888987,2.592913866,0.33582603899999997,0.954840839,9.811729,4.741666666666666,0.02927665931124035,2.28357850677308,0.19537815126050417,1.5563886913442848,0.10266985742358958,1.9177536744012298
2002,United States,8.176613807999999,4.008341789,2.592262506,0.702998221,2.377399683,1.598955989,0.726292431,4.143239498,3.250410795,0.450238734,1.171316028,9.95536,5.783333333333334,0.01463870435068082,2.2981110995945992,0.21968365553602842,1.7549802177247587,0.2014443170660991,2.1012781050074016
2003,United States,8.88807106,4.35699892,2.93580389,0.774883986,2.637983561,1.7920916080000002,0.716974497,4.460063934,3.538682938,0.482579023,1.1940383909999999,9.815033,5.991666666666667,-0.014095622860449186,2.2839151899234853,0.03602305475504308,1.7903696149390007,0.0870112333425741,2.1847100473548737
2004,United States,9.365950584,4.83358717,3.3664007189999996,0.89718318,2.70179534,1.858914375,0.6413818,4.697660446,3.756762505,0.568295717,1.2052377459999999,10.02633,5.541666666666667,0.021527895015737597,2.305214632722145,-0.07510431154381092,1.7122952978738082,0.05376639326733734,2.2370808346423705
2005,United States,10.08843422,5.194970131,3.697930813,1.043596148,3.019458055,2.100728035,0.679826438,5.0477705,4.0836958889999995,0.589476168,1.25779736,9.927033,5.083333333333333,-0.00990362375864351,2.29526164186921,-0.08270676691729328,1.6259672143853108,0.07713938158442035,2.3113896409559525
2006,United States,11.53730488,6.219923018999999,4.599170208,1.2852742670000001,3.364502668,2.496146679,0.6997790340000001,5.880087852000001,4.688318253,0.9072327020000001,1.5691405530000002,10.97,4.608333333333333,0.10506331549416648,2.395164274287139,-0.09344262295081962,1.527866258740289,0.14361700026032387,2.445585687876647
2007,United States,11.95427322,6.506962299,4.7830371860000005,1.493869185,3.126502275,2.1617946619999997,0.796398222,6.14644146,4.994834423,0.734651685,1.5267342330000002,11.27,4.616666666666667,0.027347310847766648,2.422144328051685,0.001808318264014508,1.529672943965238,0.036140879029973094,2.481088806088669
2008,United States,11.98642731,6.5913839339999996,4.866917133,1.6475172040000001,2.8320195669999997,1.686649799,1.000019908,6.439457417000001,5.116839886,0.758318245,1.749130487,11.6,5.8,0.02928127772848277,2.451005098112319,0.2563176895306858,1.7578579175523736,0.0026897569938593158,2.4837749521597394
2009,United States,12.062397,6.795937061,5.08423996,1.81470561,2.753189087,1.417993426,1.068547726,6.65707159,5.150413036000001,0.960323811,2.01941824,11.75,9.283333333333333,0.012931034482758674,2.463853240590168,0.6005747126436782,2.2282206777051834,0.006337976115420307,2.4900929277685444
2010,United States,12.39024544,7.155044079,5.382607937,2.100222349,2.7179729939999997,1.352198005,0.981418371,6.816914082,5.383900642,0.972043812,1.938915491,12.08,9.608333333333333,0.028085106382978786,2.4915511925066687,0.035008976660682256,2.262630777487013,0.027179377365875057,2.5169095049686545
2011,United States,13.26431179,7.31879425,5.42797184,2.20494318,3.299714088,1.501941085,1.4108171459999999,7.310451984,5.631717682000001,0.8554101590000001,2.252109528,12.32,8.933333333333334,0.019867549668874274,2.511223958105374,-0.07025151777970506,2.1897895988487015,0.07054471634421478,2.5850771046003813
2012,United States,13.21726608,7.042711735,5.097797394,2.077717781,3.707344055,1.402555108,1.886952519,7.377108574,5.303212166000001,0.8369470240000001,2.701924801,12.54,8.075000000000001,0.017857142857142794,2.5289235352047745,-0.09608208955223874,2.08877286910872,-0.0035467886117898084,2.581524011221665
2013,United States,13.90933514,7.200078487000001,5.134329319,2.205215693,4.67260313,1.5635431999999998,2.611281633,7.922078609,5.200109005,0.98195821,3.527143478,12.57,7.358333333333334,0.0023923444976077235,2.531313022602156,-0.08875128998968007,1.9958334578219141,0.052360984171092584,2.632560207524873
2014,United States,14.77099705,8.08630085,5.930686474,2.494008541,5.482424259,1.699818373,3.3192758560000004,8.992556572,5.317935943999999,1.740312576,4.737203598,12.93,6.158333333333334,0.02863961813842475,2.559550192783766,-0.16308040770101928,1.8178061781661559,0.06194846132667142,2.6926655993427837
2015,United States,16.33049393,9.264042854,7.042143822000001,2.739511728,6.800632954,2.114076614,4.047721386,10.31204414,5.464688301,2.98538518,6.196388245,13.26,5.275,0.025522041763341052,2.5847519847577165,-0.14343707713125853,1.6629786793621302,0.10557830826998904,2.793034153310007
